word,kanji,katakana,meaning
おきます,置きます,,"put, place"
つくります,作ります、造ります,,"make, produce"
うります,売ります,,sell
しります,知ります,,get to know
すみます,住みます,,be going to live
けんきゅうします,研究します,,do research
しりょう,資料,,"materials, data"
カタログ,,1,catalogue
じこくひょう,時刻表,,timetable
ふく,服,,clothes
せいひん,製品,,products
ソフト,,1,software
でんしじしょ,電子辞書,,Electronic dictionary
けいざい,経済,,"economy, business"
しやくしょ,市役所,,city office
こうこう,高校,,senior high school
はいしゃ,歯医者,,"dentist, dentist’s"
どくしん,独身,,"single, unmarried"
おもいだします,思い出します,,"remember, recollect"
みなさん,皆さん,,"everybody, Ladies and gentlemen."
にっぽんばし,日本橋,,Nipponbashi (commercial area in Osaka)
インタビュー,,1,interview
