word,kanji,katakana,meaning
さんかします,参加します,,participate (旅行に～)
そだてます,育てます,,"raise, bring up"
はこびます,運びます,,"carry, transport"
にゅういんします,入院します,,be hospitalized
たいいんします,退院します,,be discharged from hospital
いれます,入れます,,turn on (電源を～)
きります,切ります,,turn off (電源を～)
かけます,掛けます,,lock (かぎを～)
つきます,,,tell (嘘をを～)
きもちがいい,気持ちがいい,,feel good
きもちがわるい,気持ちが悪い,,"feel sick, feel bad"
おおきな,大きな～,,big
ちいさな～,小さな～,,"small, little"
あかちゃん,赤ちゃん,,baby
しょうがっこう,小学校,,primary school
ちゅうがっこう,中学校,,junior high school
えきまえ,駅前,,in front of the station
かいがん,海岸,,"seashore, coast"
こうじょう,工場,,factory
むら,村,,village
かな,,,katakana
ゆびわ,指輪,,ring
でんげん,電源,,power supply
しゅうかん,習慣,,"custom, habit"
けんこう,健康,,health
せい,～製,,make
おととし,,,year before last
いけない,,,exclamation of regret
おさきに しつれいします,お先に失礼します,,Excuse me for leaving before you.
げんばく,原爆,,atomic bomb
ドーム,,1,dome
いずもたいしゃ,出雲大社,,Izumo Grand Shrine
チェンマイ,,1,Chiang Mai (Thailand)
かいらん,回覧,,circular (document)
けんきゅうしつ,研究室,,research room
きちんと,,,properly
せいりします,整理します,,"tidy up, put in order"
ほうほう,方法,,"method, way"
さつ,～冊,,counter for books
はんこ,,,"seal, stamp"
おします,押します,,"press, push, stamp (はんこを～)"
ふたご,双子,,twins
ねんせい,～年生,,"～th grader, ～th year student"
にています,似ています,,similar
せいかく,性格,,personality
おとなしい,,,"quiet, gentle"
やさしい,優しい,,"kind, gentle"
せわをします,世話をします,,take care of
じかんがたちます,時間がたちます,,time passes
だいすきな,大好きな,,favorite
てん,～点,,"point, score"
きが つよい,気が強い,,strong-willed
けんかします,,,"quarrel, fight"
ふしぎな,不思議な,,"mysterious, strange"
ねんれい,年齢,,age
しかた,,,"way, method"
