word,kanji,katakana,meaning
あいます,,,meet (事故に～)
ちょきんします,貯金します,,save money
すぎます,過ぎます,,pass (7時を～)
なれます,慣れます,,get used to (仕事に～)
くさります,腐ります,,"go bad, rot (食べ物が～)"
けんどう,剣道,,Kendo (Japanese fencing)
じゅうどう,柔道,,Judo
ラッシュ,,1,rush (hour)
うちゅう,宇宙,,"space, universe"
きょく,曲,,musical piece
まいしゅう,毎週,,every week
まいつき,毎月,,every month
まいとし,毎年,,every year
このごろ,,,"recently, nowadays"
やっと,,,at last
かなり,,,"quite, fairly"
かならず,必ず,,"without fail, surely"
ぜったいに,絶対に,,"absolutely, definitely"
じょうずに,上手に,,"skillfully, well"
できるだけ,,,"as much as possible, as ~ as possible"
ほとんど,,,"almost all, mostly"
ショパン,,1,Chopin
おきゃくさま,お客様,,customer (polite)
とくべつな,特別な,,special
すいえい,水泳,,swim
ちがいます,違います,,"be different, be wrong"
チャレンジします,,1,challenge
きもち,気持ち,,feeling
のりもの,乗り物,,vehicle
せいき,...世紀,,century
とおく,遠く,,far away
めずらしい,珍しい,,"rare, unusual"
きしゃ,汽車,,steam locomotive
おおぜいの,大勢の,,many (～人)
はこびます,運びます,,"carry, transport"
うんゆします,運輸します,,transport
りようします,利用します,,"use, utilize"
じゆうに,自由に,,freely
