word,kanji,katakana,meaning
います,,,have (子どもが～)
います,,,stay (日本に～)
かかります,,,take a time
やすみます,休みます,,take a day off (会社を～)
ひとつ,1つ,,"one, single item or matters"
ふたつ,2つ,,two items or matters
みっつ,3つ,,three items or matters
よっつ,4つ,,four items or matters
いつつ,5つ,,five items or matters
むっつ,6つ,,six items or matters
ななつ,7つ,,seven items or matters
やっつ,8つ,,eight items or matters
ここのつ,9つ,,nine items or matters
とお,,,ten items or matters
ひとり,1人,,one person
ふたり,2人,,two people
にん,...人,,...person (for 3 or more people)
だい,...台,,"...item (to count machine, furniture etc.)"
まい,...枚,,"...piece (to count thin object such as paper, shirt etc.)"
かい,...回,,...times (to count the number of times something happens)
りんご,,,apple
みかん,,,mandarin orange
サンドイッチ,,1,sandwich
カレーライス,,1,curry rice
アイスクリーム,,1,ice cream
きって,切手,,postage stamp
はがき,,,post card
ふうとう,封筒,,envelope
りょうしん,両親,,(my) parents
きょうだい,兄弟,,"brothers, brothers & sisters"
あに,兄,,my elder brother
おにいさん,お兄さん,,elder brother
あね,姉,,my elder sister
おねえさん,お姉さん,,elder sister
おとうと,弟,,my younger brother
おとうとさん,弟さん,,(someone else’s) younger brother
いもうと,妹,,my younger sister
いもうとさん,妹さん,,(someone else’s) younger sister
がいこく,外国,,foreign country
りゅうがくせい,留学生,,"exchange student, overseas student"
クラス,,1,class
じかん,...時間,,...hours
しゅうかん,...週間,,...weeks
かげつ,...か月,,...months
ねん,...年,,...years
～ぐらい,,,about 
どのくらい,,,"how long (much, far, many…)"
ぜんぶで,全部で,,in total
みんな,,,"all, everything"
～だけ,,,only～
いいおてんきですね,いいお天気ですね。,,"Nice weather, isn’t it?"
おでかけですか,お出かけですか。,,Are you going out?
ちょっと～まで。,,,I’m just going to
いってらっしゃい,行ってらっしゃい。,,Have a safe trip.
いってきます,行ってきます。,,I am going out.
ふなびん,船便,,sea mail
こうくうびん,航空便,,airmail
エアメール,,1,airmail
オーストラリア,,1,Australia
