word,kanji,katakana,meaning
みがきます,磨きます,,brush (歯を～)
くみたてます,組み立てます,,assemble
おります,折ります,,"fold, break"
きがつきます,気がつきます,,notice (忘れ物に～)
つけます,,,attach (醤油を～)
みつかります,見つかります,,be found (かぎが～)
しつもんします,質問します,,ask a question
さします,,,open (傘を～)
スポーツクラブ,,1,sports club
おしろ,お城,,castle
せつめいしょ,説明書,,"instruction manual, explanatory document"
せん,線,,line
やじるし,矢印,,arrow (mark)
くろ,黒,,black
しろ,白,,white
あか,赤,,red
あお,青,,blue
こん,紺,,navy blue
きいろ,黄色,,yellow
ちゃいろ,茶色,,brown
しょうゆ,,,soy sauce
ソース,,1,sauce
おちゃく,お客さん,,"guest, customer"
～か～,,,or
ゆうべ,,,last night
さっき,,,a little while ago
さどう,茶道,,tea ceremony
おちゃをたてます,お茶をたてます,,to make tea (for a tea ceremony)
さきに,先に,,"ahead, first"
のせます,載せます,,"put on, place on"
これでいいですか,,,Is this okay?
いかがですか,,,How is it? (polite)
にがい,苦い,,bitter
おやこどんぶり,親子丼,,chicken and egg bowl (dish)
ざいりょう,材料,,ingredients
ぶん,...分,,...portion
グラム,,1,...gram
こ,...個,,... pieces
たまねぎ,,,onion
よんぶんのいち,4分の1,,one-quarter (1/4)
ちょうみりょう,調味料,,seasoning
てきとうなおおきさに,適当な大きさに,,appropriate size
なべ,,,pot
ひ,火,,"fire, flame"
かけます,かけます,,put on (火に～)
にます,煮ます,,boil
にえます,煮えます,,done the boiling
どんぶり,,,bowl (for rice with toppings)
たちます,,,pass of time
