word,kanji,katakana,meaning
つづけます,続けます,,continue
みつけます,見つけます,,find
とります,取ります,,"take, obtain, earn (休みを～)"
うけます,受けます,,"receive, take  (試験を～)"
もうしこみます,申し込みます,,apply for
きゅうけいします,休憩します,,take a break
れんきゅう,連休,,consecutive holidays
さくぶん,作文,,"composition, essay"
はっぴょう,発表,,"announcement, presentation (～します)"
てんらんかい,展覧会,,exhibition
けっこんしき,結婚式,,wedding ceremony
おそうしき,お葬式,,funeral
しき,式,,ceremony
ほんしゃ,本社,,head office
してん,支店,,branch office
きょうかい,教会,,church
だいがくいん,大学院,,graduate school
どうぶつえん,動物園,,zoo
おんせん,温泉,,hot spring
かえり,帰り,,return
おこさん,お子さん,,someone else's child
ごう,...号,,"...number (train car number, etc.)"
のほう,～の方,,～ direction
ずっと,,,"all the time, all the way, far off"
バリ,,1,Bali (island in Indonesia)
ピカソ,,1,"Picasso (Spanish painter, 1881-1973)"
のぞみ,,,"Nozomi (Shinkansen name), Nozomi No. 42"
しんこうべ,新神戸,,Shin-Kobe (station name in Hyogo prefecture)
のこります,残ります,,"stay, remain"
にゅうがくしけん,入学試験,,entrance examination
つきに,月に,,"per month, every month"
むら,村,,"village, hamlet"
そつぎょうします,卒業します,,graduate
えいがかん,映画館,,movie theater
いやな,嫌な,,"hateful, unpleasant, dislike"
そら,空,,sky
とじます,閉じます,,"close, shut"
とかい,都会,,"city, urban area"
こどもたち,子供たち,,children
じゆうに,自由に,,freely
