word,kanji,katakana,meaning
あそびます,遊びます,,"enjoy oneself, play"
およぎます,泳ぎます,,swim
むかえます,迎えます,,"go to meet, welcome"
つかれます,疲れます,,get tired
けっこんします,結婚します,,"marry, get married"
かいものします,買い物します,,do shopping
しょくじします,食事します,,"have a meal, dine"
さんぽします,散歩します,,take a walk (公園を～)
たいへんな,大変な,,"hard, tough, severe, awful"
ほしい,欲しい,,want (something)
ひろい,広い,,"wide, spacious"
せまい,狭い,,"narrow, small (room)"
プール,,1,swimming pool
かわ,川,,river
びじゅつ,美術,,fine arts
つり,釣り,,fishing (～をします)
スキー,,1,skiing (～をします)
しゅうまつ,週末,,weekend
おしょうがつ,お正月,,New Year
～ごろ,,,about (time)
なにか,何か,,something
どこか,,,"somewhere, some place"
ごちゅうもん,ご注文,,order
ていしょく,定食,,set meal
ぎゅうどん,牛どん,,bowl of rice topped with beef
しょうしょう,少々,,a moment
べつべつに,別々に,,separately
のど,,,throat
かわきます,,,thirsty
おなか,,,stomach
すきます,,,hungry
いっぱい,,,full
