word,kanji,katakana,meaning
のぼります,登ります、上ります,,"climb, up"
とまります,泊まります,,stay (ホテルに～)
そうじします,掃除します,,clean (a room)
せんたくします,洗濯します,,wash (clothes)
なります,,,become
ねむい,眠い,,sleepy
つよい,強い,,strong
よわい,弱い,,weak
れんしゅう,練習,,practice (～をします)
ゴルフ,,1,golf (～をします)
すもう,相撲,,sumo wrestling (～[を]します)
おちゃ,お茶,,tea ceremony
ひ,日,,"day, date"
ちょうし,調子,,condition
いちど,一度,,once
いちども,一度も,,"not once, never (used with negatives)"
だんだん,,,gradually
もうすぐ,,,soon
おかげさまで,,,Thank you (used when expressing gratitude for help received)
でも,,,but (casual)
かんぱい,乾杯,,Bottoms up / Cheers!
からだにいい,体にいい,,good for one’s health
むりな,無理な,,"excessive, impossible"
ダイエット,,1,diet (go on a diet)
スカイツリー,,1,Tokyo Skytree (name of building in Tokyo)
かつしかほくさい,葛飾北斎,,KATSUSHIKA Hokusai (Famous ukiyo-e artists of the Edo period)
