word,kanji,katakana,meaning
ここ,,,"here, this place"
そこ,,,"there, that place near you"
あそこ,,,that place over there
どこ,,,"where, what place"
こちら,,,"this way, this place (polite equivalent of ここ)"
そちら,,,"that way, that place (polite equivalent of そこ)"
あちら,,,that place (polite equivalent of あそこ)
どちら,,,"which way, where place (polite equivalent of どこ)"
きょうしつ,教室,,classroom
しょくどう,食堂,,"dining hall, canteen"
じむしょ,事務所,,office
かいぎしつ,会議室,,"conference room, assembly room"
うけつけ,受付,,reception desk
ロビー,,1,lobby
へや,部屋,,room
トイレ,,1,"toilet, rest room"
おてあらい,お手洗い,,"toilet, rest room"
かいだん,階段,,staircase
エレベーター,,1,"elevator, lift"
エスカレーター,,1,escalator
じどうはんばいき,自動販売機,,vending machine
でんわ,電話,,"telephone, telephone call"
おくに,お国,,"home country, home town"
かいしゃ,会社,,company
うち,,,"house, home (where you belong)"
くつ,靴,,shoes
ネクタイ,,1,necktie
ワイン,,1,wine
うりば,売り場,,"department, counter (in a department store)"
ちか,地下,,basement
かい,...階,,...floor
なんがい,何階,,which floor
えん,...円,,...Japanese yen
ドル,,1,...dollar
いくら,,,how much
ひゃく,百,,hundred
せん,千,,thousand
まん,万,,ten thousand
みせます,見せます,,show
イタリア,,1,Italy
スイス,,1,Switzerland
フランス,,1,France
ジャカルタ,,1,Jakarta (city in Indonesia)
バンコク,,1,Bangkok (city in Thailand)
ベルリン,,1,Berlin (city in Germany)
しんおおさか,新大阪,,Shin Osaka (city in Osaka)
