word,kanji,katakana,meaning
たべます,食べます,,eat
のみます,飲みます,,drink
すいます,吸います,,smoke (たばこを～)
みます,見ます,,"see, look at, watch"
ききます,聞きます,,"hear, listen"
よみます,読みます,,read
かきます,書きます,,write
かいます,買います,,buy
とります,撮ります,,take (写真を～)
します,,,do
あいます,会います,,meet (友達に～)
ごはん,,,"a meal, cooked rice"
あさごはん,朝ごはん,,breakfast
ひるごはん,昼ごはん,,lunch
ばんごはん,晩ごはん,,supper
パン,,1,bread
たまご,卵,,egg
にく,肉,,meat
さかな,魚,,fish
やさい,野菜,,vegetable
くだもの,果物,,fruit
みず,水,,water
おちゃ,お茶,,"tea, Japanese tea"
こうちゃ,紅茶,,black tea
ぎゅうにゅう,牛乳,,milk
ミルク,,1,milk
ジュース,,1,juice
ビール,,1,beer
おさけ,お酒,,"alcohol, Japanese rice wine"
たばこ,,,"tobacco, cigarettes"
てがみ,手紙,,letter
レポート,,1,report
しゃしん,写真,,photograph
ビデオ,,1,"video tape, video deck"
みせ,店,,"store, shop"
にわ,庭,,garden
しゅくだい,宿題,,homework (～をします)
テニス,,1,tennis (～をします)
サッカー,,1,"soccer, football (～をします)"
おはなみ,お花見,,cherry-blossom viewing
なに,何,,what
いっしょに,,,together
ちょっと,,,"a little while, a little bit"
いつも,,,"always, usually"
ときどき,時々,,sometimes
それから,,,"after that, and then"
ええ,,,"yes, yeah"
いいですね。,,,That’s good.
わかりました。,,,I see.
なんですか,何ですか。,,What is it? What’s the matter?
メキシコ,,1,Mexico
おおさか,大阪,,Osaka
や,...屋,,...shop
まいにち,毎日,,every day
