word,kanji,katakana,meaning
かいます,飼います,,keep a pet
みち,道,,road
はしります,走ります,,run
みえます,見えます,,"be seen, can see (山が～)"
きこえます,聞こえます,,"be heard, can hear (音が～)"
できます,,,be able to do (道が～)
ひらきます,開きます,,withdraw (教室を～)
しんぱい な,心配 な,,"worried, anxiety"
ペット,,1,pet
とり,鳥,,bird
こえ,声,,voice
はなび,花火,,fireworks
どうぐ,道具,,tool
クリーニング,,1,cleaning
いえ,家,,house
マンション,,1,condominium
キッチン,,1,kitchen
きょうしつ,教室,,classroom
パーティールーム,,1,party room
かた,方,,"person (polite form of ""hito"")"
ご,～後,,～ after (period of time)
～しか,,,only (followed by negative)
ほかの,,,other
はっきり,,,clearly
かぐ,家具,,furniture
ほんだな,書棚,,bookshelf
いつか,,,sometime
たてます,建てます,,build
すばらしい,,,"wonderful, splendid"
こどもたち,子供たち,,children
だいすきな,大好きな,,"very fond of, like very much"
しゅじんこう,主人公,,"protagonist, main character"
かたち,形,,"shape, form"
ふしぎ な,不思議 な,,"mysterious, strange"
ポケット,,1,pocket
たとえば,例えば,,for example
つけます,付けます,,"attach, add"
じゆうに,自由に,,freely
そら,空,,sky
とびます,飛びます,,fly
むかし,昔,,"long ago, ancient times"
じぶん,自分,,oneself
しょうらい,将来,,future
ドラえもん,,1,Doraemon (name of an anime character)
