word,kanji,katakana,meaning
いります,要ります,,"need, require (ビザが～)"
しらべます,調べます,,"check, investigate"
しゅうりします,修理します,,repair
ぼく,僕,,I (informal equivalent of わたし)
きみ,君,,you (informal equivalent of あなた)
くん,～君,,"Mr. or Ms. (informal equivalent of ～さん, often used to call junior/younger person)"
うん,,,yes (informal equivalent of はい)
ううん,,,no (informal equivalent of いいえ)
ことば,,,"word, language"
きもの,着物,,kimono (traditional Japanese attire)
ビザ,,1,visa
はじめ,初め,,the beginning
おわり,終わり,,the end
こっち,,,"this way, this place (informal equivalent of こちら)"
そっち,,,"this way, that place (informal equivalent of そちら)"
あっち,,,"this way, that place over there (informal equivalent of あちら)"
どっち,,,"which one (between two things), which way, where (informal equivalent of どちら)"
みんなで,,,all together
～けど,,,but (informal equivalent of が)
おなか,,,stomach
いっぱい,,,full
よかったら,,,if you like
いろいろ,,,various type of～
