word,kanji,katakana,meaning
ききます,聞きます,,ask (先生に～)
まわします,回します,,turn
ひきます,引きます,,pull
さわります,触ります,,touch
おつり,お釣り,,"change, money"
でます,出ます,,come out (お釣りが～)
あるきます,歩きます,,walk
わたります,渡ります,,cross (橋を～)
まがります,曲がります,,turn (右へ～)
さびしい,寂しい,,lonely
おゆ,お湯,,hot water
おと,音,,sound
サイズ,,1,size
こしょう,故障,,breakdown (～します)
みち,道,,"road, way"
こうさてん,交差点,,crossroad
しんごう,信号,,traffic light
かど,角,,corner
はし,橋,,bridge
ちゅうしゃじょう,駐車場,,"parking lot, car park"
たてもの,建物,,building
なんかいも,何回も,,so many times
め,...目,,the ...th (indicating order)
しょうとくたいし,聖徳太子,,Prince Shotoku
ほうりゅうじ,法隆寺,,Horyuji-temple
