word,kanji,katakana,meaning
あります,,,"be, exit (objects)"
います,,,"be, exit (people & animal)"
いろいろな,,,various
おとこのひと,男の人,,man
おんなのひと,女の人,,woman
おとこのこ,男の子,,boy
おんなのこ,女の子,,girl
いぬ,犬,,dog
ねこ,猫,,cat
パンダ,,1,panda
ぞう,象,,elephant
き,木,,"tree, wood"
もの,物,,objects
でんち,電池,,battery
はこ,箱,,box
スイッチ,,1,switch
れいぞうこ,冷蔵庫,,refrigerator
テーブル,,1,table
ベッド,,1,bed
たな,棚,,shelf
ドア,,1,door
まど,窓,,window
ポスト,,1,"mailbox, post box"
ビル,,1,building
エーティーエム,,1,ATM
コンビニ,,1,convenience store
こうえん,公園,,park
きっさてん,喫茶店,,coffee shop
や,～屋,,"store, shop"
のりば,乗り場,,"a fixed place to catch taxis, trains, etc."
けん,県,,prefecture
うえ,上,,"on, above, over"
した,下,,"under, below, beneath"
まえ,前,,"front, before"
うしろ,,,"back, behind"
みぎ,右,,right
ひだり,左,,left
なか,中,,"in, inside"
そと,外,,outside
となり,隣,,"next, next door"
ちかく,近く,,"near, vicinity"
あいだ,間,,"between, among"
～や～など,,,"～, ～, and so on"
どうもすみません。,,,Sorry to bother you but thanks.
ナンプラー,,1,nam pla (Thai style fish sauce)
コーナー,,1,"section, counter, booth"
いちばんした,いちばん下,,the lowest
とうきょう,東京,,Tokyo
ディズニーランド,,1,Disneyland
アジア,,1,Asia
ストア,,1,store
