word,kanji,katakana,meaning
くれます,,,give (me)
なおします,直します,,repair
つれていきます,連れて行きます,,take (someone) along
つれてきます,連れて来ます,,bring (someone) along
おくります,送ります,,"escort, go with (人に～)"
しょうかいします,紹介します,,introduce
あんないします,案内します,,"show around, show the way"
せつめいします,説明します,,explain
おじいさん／おじいちゃん,,,"grandfather, old man"
おばあさん／おばあちゃん,,,"grandmother, old woman"
じゅんび,準備,,preparation (～[を]します)
ひっこし,引っ越し,,moving (～[を]します)
おかし,お菓子,,"sweets, snacks"
ホームステイ,,1,homestay
ぜんぶ,全部,,all
じぶんで,自分で,,by oneself
ほかに,,,besides
ははのひ,母の日,,mother’s Day
