word,kanji,katakana,meaning
わかります,,,understand
あります,あります,,have
すきな,好きな,,like
きらいな,嫌いな,,dislike
じょうずな,上手な,,good at
へたな,下手な,,terrible at
のみもの,飲み物,,drinks
りょうり,料理,,"dish, cooked food (～をします)"
スポーツ,,1,sports (～をします)
やきゅう,野球,,baseball (～をします)
ダンス,,1,dance (～をします)
りょこう,旅行,,travel (～[を]します)
おんがく,音楽,,music
うた,歌,,song
クラシック,,1,classical music
ジャズ,,1,jazz
コンサート,,1,concert
カラオケ,,1,Karaoke
かぶき,歌舞伎,,Kabuki
え,絵,,"picture, drawing"
じ,字,,"letter, character"
かんじ,漢字,,"Kanji, Chinese origin characters"
ひらがな,,,Hiragana script
かたかな,,,Katakana script
ローマじ,ローマ字,1,Roman alphabet
こまかいおかね,細かいお金,,small change
チケット,,1,ticket
じかん,時間,,time
ようじ,用事,,something to do
やくそく,約束,,"appointment, promise (～[を]します)"
アルバイト,,1,part-time job (～をします)
ごしゅじん,ご主人,,(someone else’s) husband
しゅじん,主人,,(my) husband
おっと,夫,,(my) husband
おくさん,奥さん,,(someone else’s) wife
つま,妻,,(my) wife
かない,家内,,(my) wife
こども,子ども,,"child, children"
よく,,,"well, much"
だいたい,,,"mostly, roughly"
たくさん,,,"many, much"
すこし,少し,,"a little, a few"
ぜんぜん,全然,,not at all (used with negatives)
はやく,早く、速く,,"early, quickly, fast"
～から,,,because
どうして,,,why
こんど,今度,,some other time
かします,貸します,,lend
ざんねん,残念,,pity
