word,kanji,katakana,meaning
つけます,,,turn on
けします,消します,,turn off
あけます,開けます,,open
しめます,閉めます,,"close, shut"
いそぎます,急ぎます, ,hurry
まちます,待ちます,,wait
もちます,持ちます,,hold
とります,取ります,,"take, pass"
てつだいます,手伝います,,help
よびます,呼びます,,call
はなします,話します,,"speak, talk"
つかいます,使います,,use
とめます,止めます,,"stop, park"
みせます,見せます,,show
おしえます,教えます,,"tell, teach (住所を～)"
すわります,座ります,,sit
たちます,立ちます,,stand up
はいります,入ります,,"enter, go in (喫茶店に～)"
でます,出ます,,"leave, go out (喫茶店を～)"
ふります,降ります,,rain (雨が～)
コピーします,,1,copy
でんき,電気,,"electricity, electric light"
エアコン,,1,air conditioner
パスポート,,1,passport
なまえ,名前,,name
じゅうしょ,住所,,address
ちず,地図,,map
しお,塩,,salt
さとう,砂糖,,sugar
もんだい,問題,,question
こたえ,答え,,answer
よみかた,読み方,,"How to read, way of reading"
かた,～方,,way of V-ing
まっすぐ,,,straight
ゆっくり,,,"slowly, leisurely"
すぐ,,,immediately
また,,,again
あとで,,,later
もうすこし,もう少し,,"more, another"
もう～,,,more～
しんごう,信号,,traffic light
みぎ,右,,right
まがります,曲がります,,turn
おつり,お釣り,,"change, money"
ちょう,町,,town
