word,kanji,katakana,meaning
あきます,開きます,,to open (ドアが～)
しまります,閉まります,,to close (ドアが～)
つきます,,,"to turn on, light up (電気が～)"
きえます,消えます,,"to turn off, go out (電気が～)"
こわれます,壊れます,,"to break, be damaged (いすが～)"
われたい,割れます,,"to break, smash (コップが～)"
おれます,折れます,,"to break, snap (木が～)"
やぶれます,破れます,,to tear (紙が～)
よごれます,汚れます,,to get dirty (服が～)
つきます,付きます,,to be attached (ポケットが～)
はずれます,外れます,,"to come off, come undone (ボタンが～)"
とまります,止まります,,"to stop, park (車が～)"
まちがえます,,,to make a mistake
おとします,落とします,,"to drop, lose"
かかります,掛かります,,to be locked (かぎが～)
ふきます,,,wipe
とりかえます,取り替えます,,replace
かたづけます,片づけます,,"to tidy up, put in order"
おさら,お皿,,plate
おちゃわん,,,tea bowl
コップ,,1,cup
ガラス,,1,glass
ふくろ,袋,,bag
しょるい,書類,,document
えだ,枝,,branch
えきいん,駅員,,station attendant
こうばん,交番,,police box
スピーチ,,1,speech (～をします)
へんじ,返事,,"reply, answer (～をします)"
お先に,おさきに,,first
げんじものがたり,源氏物語,,The Tale of Genji (classical Japanese novel)
いまのでんしゃ,今の電車,,the train just now
わすれもの,忘れ物,,lost article
このくらい,,,"about this much, this size"
がわ,～側,,～ side
ポケット,,1,pocket
へん,～辺,,"～ area, vicinity"
おぼえます,覚えます,,remember
あみだな,網棚,,luggage rack
たしか,確か,,"surely, certainly; if I remember correctly"
しんじゅく,新宿,,"Shinjuku (place name in Tokyo, train station name)"
じしん,地震,,earthquake
かべ,壁,,wall
はり,針,,needle (clock/watch hand)
さします,指します,,point
えきまえ,駅前,,in front of the station
たおれます,倒れます,,fall down
にし,西,,west
の ほう,～の方,,～ direction
もえます,燃えます,,burn
レポーター,,1,reporter
