word,kanji,katakana,meaning
できます,,,"be able to, can"
あらいます,洗います,,wash
ひきます,弾きます,,play (stringed or keyboard instruments)
うたいます,歌います,,sing
あつめます,集めます,,"collect, gather"
すてます,捨てます,,throw away
かえます,換えます,,"exchange, change"
うんてんします,運転します,,drive
よやくします,予約します,,"reserve, book"
ピアノ,,1,piano
メートル,,1,...meter
げんきん,現金,,cash
しゅみ,趣味,,hobby
にっき,日記,,diary
おいのり,お祈り,,prayer (～をします)
かちょう,課長,,section chief
ぶちょう,部長,,department chief
しゃちょう,社長,,president of a company
どうぶつ,動物,,animal
うま,馬,,horse
インターネット,,1,internet
とくに,特に,,"in particular, especially"
へえ,,,Really! (used when expressing surprise)
おもしろい,,,interesting
なかなか,,,not easily (used with negatives)
ぜひ,,,by all means
ふるさと,故郷,,"home town, birthplace"
ビートルズ,,1,"the Beatles, famous British music group"
あきはばら,秋葉原,,Akihabara (city in Tokyo)
