word,kanji,katakana,meaning
うれます,売れます,,sell (商品が～: goods sell well)
おどります,踊ります,,dance
かみます,,,"bite, chew"
えらびます,選びます,,"choose, select"
かよいます,通います,,commute (大学に～)
メモします,,1,take notes
まじめな,,,"serious, earnest"
ねっしんな,,,"enthusiastic, eager"
えらい,偉い,,"great, admirable"
ちょうどいい,,,"just right, appropriate"
けしき,景色,,scenery
びよういん,美容院,,beauty salon
だいどころ,台所,,kitchen
けんちく,建築,,architecture
けいけん,経験,,experience (～があります)
ちから,力,,"power, strength, ability"
にんき,人気,,popularity (～があります)
かたち,形,,"shape, form"
いろ,色,,color
あじ,味,,taste
ガム,,1,chewing gum
ねだん,値段,,price
きゅうりょう,給料,,salary
ボーナス,,1,bonus
ゲーム,,1,game
ばんぐみ,番組,,(TV/radio) program
ドラマ,,1,drama
かしゅ,歌手,,singer
しょうせつ,小説,,novel
しょうせつか,小説家,,novelist
か,～家,,people who are engaged in a certain profession
き,～機,,～ machine
むすこ,息子,,(my) son
むすこさん,息子さん,,(someone else's) son
むすめ,娘,,(my) daughter
むすめさん,娘さん,,(someone else's) daughter
じぶん,自分,,oneself
しょうらい,将来,,future
しばらく,,,for a while
たいてい,,,"mostly, generally"
それに,,,"moreover, besides"
そしで,,,"and, then"
ちょっとおねがいがあるんですが,ちょっとお願いがあるんですが。,,I have a small request.
じつは,実は,,"actually, to tell the truth"
かいわ,会話,,conversation
お知らせ,お知らせ,,"notice, announcement"
さんかします,参加します,,"participate, attend"
ひにち,日にち,,date
たいいくかん,体育館,,"gym, gymnasium"
むりょう,無料,,free (of charge)
さそいます,誘います,,invite
イベント,,1,event
