word,kanji,katakana,meaning
おもいます,思います,,think
いいます,言います,,say
かちます,勝ちます,,win
まけます,負けます,,"lose, be beaten"
あります,,,"be held, take place (お祭りが～)"
やくにたちます,役に立ちます,,be useful
うごきます,動きます,,move
やめます,,,resign (会社を～)
きをつけます,気を付けます,,pay attention
りゅうがくします,留学します,,study abroad
むだな,,,wasteful
ふべんな,不便な,,inconvenient
すごい,,,"awful, great"
ほんとう,,,truth
うそ,,,lie
じどうしゃ,自動車,,car
こうつう,交通,,"transportation, traffic"
ぶっか,物価,,"prices, the cost of living"
ほうそう,放送,,broadcast
ニュース,,1,news
アニメ,,1,"Anime, animation"
マンガ,,1,"Manga, comic"
デザイン,,1,design
ゆめ,夢,,dream
てんさい,天才,,genius
しあい,試合,,"game, match (～をします)"
いけん,意見,,opinion
はなし,話,,"talk, speech, story (～をします)"
ちきゅう,地球,,earth
つき,月,,moon
さいきん,最近,,"recently, these days"
たぶん,,,"probably, maybe"
きっと,,,surely
ほんとうに,,,really
そんなに,,,not so much
～について,,,about
ひさしぶりですね,久しぶりですね。,,It’s been a long time.
でものみませんか,～でも飲みませんか。,,Would your like a (something to drink)?
もちろん,,,Sure.
もうかえらないと,もう帰らないと……。,,I have to go.
アインシュタイン,,1,Einstein
ガガーリン,,1,Gagarin
ガリレオ,,1,Galileo
キングぼくし,キング牧師,,Martin Luther King Jr.
フランクリン,,1,Benjamin Franklin
かぐやひめ,かぐや姫,,Main character of the Tale of Taketori monogatari
てんじんまつり,天神祭,,Tenjin Matsuri (festival)
よしのやま,吉野山,,Yoshinoyama (place)
カンガルー,,1,kangaroo
キャプテン・クック,,1,Captain Cook
