word,kanji,katakana,meaning
これ,,,this (thing here)
それ,,,that (thing near you)
あれ,,,that (thing over there)
この～,,,this (+ Noun here)
その～,,,that (+ Noun near you)
あの～,,,that (+ Noun over there)
ほん,本,,book
じしょ,辞書,,dictionary
ざっし,雑誌,,magazine
しんぶん,新聞,,newspaper
ノート,,1,notebook
てちょう,手帳,,pocket notebook
めいし,名刺,,business card
カード,,1,card
えんぴつ,鉛筆,,pencil
ボールペン,,1,ballpoint pen
シャープペンシル,,1,mechanical pencil
かぎ,,,key
とけい,時計,,"watch, clock"
かさ,傘,,umbrella
かばん,,,"bag, briefcase"
シーディー,,1,CD
テレビ,,1,television
ラジオ,,1,radio
カメラ,,1,camera
コンピューター,,1,computer
くるま,車,,car
つくえ,机,,desk
いす,,,chair
チョコレート,,1,chocolate
コーヒー,,1,coffee
おみやげ,お土産,,souvenir
えいご,英語,,English (language)
にほんご,日本語,,Japanese (language)
ご,～語,,～language
なん,何～,,what
そう,,,that’s it
これからおせわになります,これからお世話になります。,,I hope for your kind assistance hereafter.
こちらこそどうぞよろしくおねがいします,こちらこそどうぞよろしくお願いします。,,I am also pleased to meet you. (response to どうぞよろしくお願いします)
あのう,,,well… (used to show hesitation)
えっ,,,eh? (used to show surprise)
どうぞ。,,,please
どうもありがとうございます。,,,Thank you very much.
そうですか。,,,I see.
ちがいます,違います。,,"No, it isn’t."
あ,,,ah! (interjection used when noticing something)
