word,kanji,katakana,meaning
のります,乗ります,,get on (電車に～)
おります,降ります,,get off (電車を～)
のりかえます,乗り換えます,,change
あびます,浴びます,,take (a shower)
いれます,入れます,,"insert, put in"
だします,出します,,"take out, withdraw"
おろします,下ろします,,withdraw (お金を～)
はいります,入ります,,enter (大学に～)
でます,出ます,,graduate (大学を～)
おします,押します,,"push, press"
のみます,飲みます,,drink
はじめます,始めます,,start
けんがくします,見学します,,"observe, visit, take a study tour"
でんわします,電話します,,make a phone call
わかい,若い,,young
ながい,長い,,long
みじかい,短い,,short
あかるい,明るい,,"bright, light"
くらい,暗い,,dark
からだ,体,,body
あたま,頭,,head
かみ,髪,,hair
かお,顔,,face
め,目,,eye
みみ,耳,,ear
はな,鼻,,nose
くち,口,,mouth
は,歯,,tooth
おなか,,,stomach
せ,背,,body height
あし,足,,"foot, leg"
サービス,,1,service
ジョギング,,1,jogging
シャワー,,1,shower
みどり,緑,,green
おてら,お寺,,Buddhist shrine
じんじゃ,神社,,Shinto shrine
ばん,...番,,number…
どうやって,,,"how, in what way"
どの～,,,Which~(of three or more)
どれ,,,which (of three or more)
ひきだします,引き出します,,withdrawal
まず,,,first of all
つぎに,次に,,next
キャッシュカード,,1,cash dispensing card
あんしょうばんごう,暗証番号,,"personal identification number, PIN"
きんがく,金額,,amount of money
かくにん,確認,,confirmation (～します) 
ボタン,,1,button
ジェーアール,JR,1,JR
ゆきまつり,雪祭り,,snow festival
バンドン,,1,Bandung (city in Indonesia)
フランケン,,1,Franken (city in Germany)
ベラクルス,,1,Veracruz (city in Mexico)
うめだ,梅田,,Umeda (city in Osaka)
