word,kanji,katakana,meaning
きります,切ります,,cut
おくります,送ります,,send
あげます,,,give
もらいます,,,receive
かします,貸します,,lend
かります,借ります,,borrow
おしえます,教えます,,teach
ならいます,習います,,learn
かけます,,,call (電話を～)
て,手,,hand
はし,,,chopsticks
スプーン,,1,spoon
ナイフ,,1,knife
フォーク,,1,fork
はさみ,,,scissors
パソコン,,1,PC
ケータイ,,1,mobile phone
メール,,1,email
ねんがじょう,年賀状,,New Year’s card
パンチ,,1,punch
ホッチキス,,1,stapler
セロテープ,,1,Scotch tape
けしごむ,消しゴム,,eraser
かみ,紙,,paper
はな,花,,flower
シャツ,,1,shirt
プレゼント,,1,"present, gift"
にもつ,荷物,,"baggage, parcel"
おかね,お金,,money
きっぷ,切符,,ticket
クリスマス,,1,Christmas
ちち,父,,(my) father
はは,母,,(my) mother
おとうさん,お父さん,,father
おかあさん,お母さん,,mother
もう,,,already
まだ,,,not yet
これから,,,"from now on, soon"
あがります,上がります,,"go up, come"
スペイン,,1,Spain
