word,kanji,katakana,meaning
にげます,逃げます,,"run away, escape"
さわぎます,騒ぎます,,make a noise
あきらめます,,,give up
なげます,投げます,,throw
まもります,守ります,,"protect, keep (a promise)"
はじまります,始まります,,"begin, start (式が～)"
しゅっせきします,出席します,,attend (会議に～)
つたえます,伝えます,,convey (a message)
ちゅういします,注意します,,"warn, advise (車に～)"
はずします,外します,,"unfasten, remove (席を～)"
もどります,戻ります,,"return, go back (電話が～)"
あります,,,have (電話が～)
リサイクルします,,1,recycle
おなじ,同じ,,same
けいさつ,警察,,police
せき,席,,seat
マーク,,1,mark
ボール,,1,ball
しめきり,締め切り,,deadline
きそく,規則,,"rule, regulation"
きけん,危険,,danger
しようきんし,使用禁止,,No Entry
たちいりきんし,立入禁止,,No Entry
いりぐち,入口,,entrance
でぐち,出口,,exit
ひじょうぐち,非常口,,emergency exit
むりょう,無料,,free (of charge)
わりびき,割引,,discount
のみほうだい,飲み放題,,all you can drink
しようちゅう,使用中,,in use
ぼしゅうちゅう,募集中,,"recruiting, accepting applications"
ちゅう,～中,,in the middle of ～
どういう～,,,what kind of ～
いくら～ても,,,however much ～
もう,,,already
あと～,,,after
～ほど,,,about
ちゅうしゃいはん,駐車違反,,parking violation
ばっきん,罰金,,fine
じしん,地震,,earthquake
おきます,起きます,,"happens, occurs"
たすけあいます,助け合います,,help each other
もともと,,,originally
かなしい,悲しい,,sad
もっと,,,more
あいさつ,,,greetings (～をします)
あいて,相手,,"partner, opponent"
きもち,気持ち,,feelings
