word,kanji,katakana,meaning
みます,見ます、診ます,,"find, inspect, examine, look, see"
さがします,探します、捜します,,"search, look for"
じかん,時間,,time
おくれます,遅れます,,be late (時間に～)
まにあいます,間に合います,,be on time (時間に～)
やります,,,"do, give"
ひろいます,拾います,,pick up
れんらくします,連絡します,,contact
きぶんがわるい,気分が悪い,,feel sick
こわれます,壊れます,,break
うんどうかい,運動会,,sports festival
ぼんおどり,盆踊り,,Bon dance
フリーマーケット,,1,flea market
ばしょ,場所,,place
ボランティア,,1,volunteer
さいふ,財布,,wallet
ごみ,,,garbage
こっかいぎじどう,国会議事堂,,National Diet Building
へいじつ,平日,,weekday
べん,～弁,,dialect
こんど,今度,,next time
ずいぶん ,,,quite
ちょくせつ,直接,,directly
いつでも,,,anytime
どこでも,,,anywhere
だれでも,,,anyone
なんでも,何でも,,anything
こんな～,,,this kind of
そんな～,,,that kind of
あんな～,,,that kind of (over there)
かたづけます,片付けます,,tidy up (荷物が～)
だします,出します,,"take out, put out (ごみを～)"
もやせるごみ,燃やせるごみ,,burnable trash
おきば,置き場,,storehouse
よこ,橫,,side
びん,瓶,,bottle
かん,缶,,can
ガス,,1,gas
がいしゃ,～会社,,～ company
うちゅう,宇宙,,space
さま,～様,,Mr./Ms. (polite)
うちゅうせん,宇宙船,,spaceship
こわい,,,scary
ステーション,,1,station
ちがいます,違います,,"wrong, different"
うちゅうひこうし,宇宙飛行士,,astronaut
ほしでるあきひこ,星出彰彦,,Akihiko Hoshide (Japanese astronaut)
