word,kanji,katakana,meaning
うんどうします,運動します,,exercise
せいこうします,成功します,,succeed
しっぱいします,失敗します,,fail  (試験に～)
ごうかくします,合格します,,pass  (試験に～)
やみます,,,stop (雨が～)
はれます,晴れます,,clear up (weather)
くもります,曇ります,,get cloudy
つづきます,続きます,,continue (熱が～)
ひきます,,,catch (かぜを～)
ひやします,冷やします,,"cool, chill"
こみます,込みます,,get crowded (道が～)
すきます,,,available (道が～)
でます,出ます,,"attend (パーティーに～), come out  (試験に～)"
むりをします,無理をします,,"overdo it, push oneself"
じゅうぶんな,十分な,,"enough, sufficient"
おかしい,,,strange
うるさい,,,noisy
せんせい,先生,,"teacher, doctor, professionals"
やけど,,,burn (～をします)
けが,,,injury (～をします)
せき,,,cough (～をします) (～がでます)
インフルエンザ,,1,influenza
そら,空,,sky
たいよう,太陽,,sun
ほし,星,,star
かぜ,風,,wind
ひがし,東,,east
にし,西,,west
みなみ,南,,south
きた,北,,north
こくさい,国際～,,international
すいどう,水道,,water supply (tap water)
エンジン,,1,engine
チーム,,1,team
こうや,今夜,,tonight
ゆうがた,夕方,,evening
まえ,,,front
おそく,遅,,late
そんなに,,,"so much, like that"
こんなに,,,"this much, like this"
あんなに,,,"that much, like that (far away)"
ヨーロッパ,,1,Europe
げんき,元気,,"energetic, healthy"
い,胃,,stomach
ストレス,,1,stress
いけません,,,not good
ほしうらない,星占い,,astrology
おうしざ,牡牛座,,Taurus
はたらきすぎ,働きすぎ,,overwork
こまります,困ります,,be in trouble
たからくじ,宝くじ,,lottery
あたります,当たります,,win  (宝くじが～)
けんこう,健康,,health
れんあい,恋愛,,"love, romance"
こいびと,恋人,,"lover, sweetheart"
ラッキーアイテム,,1,lucky item
いし,石,,stone
